index,customer_id,customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,cred_hist_length,Current_loan_status
0,1.0,22,59000,0,123.0,3,2,35000.0,16.02,10,3,1
1,2.0,21,9600,1,5.0,0,0,1000.0,11.14,1,2,0
2,3.0,25,9600,2,1.0,1,1,5500.0,12.87,5,3,1
3,4.0,23,65500,0,4.0,1,1,35000.0,15.23,10,2,1
4,5.0,24,54400,0,8.0,1,1,35000.0,14.27,10,4,1
5,6.0,21,9900,1,2.0,2,0,2500.0,7.14,1,2,1
6,7.0,26,77100,0,8.0,0,0,35000.0,12.42,10,3,0
7,8.0,24,78956,0,5.0,1,0,35000.0,11.11,10,4,0
8,9.0,24,83000,0,8.0,3,0,35000.0,8.9,10,2,0
9,10.0,21,10000,1,6.0,2,2,1600.0,14.74,1,3,1
10,11.0,22,85000,0,6.0,2,0,35000.0,10.37,10,4,0
11,12.0,21,10000,1,2.0,5,0,4500.0,8.63,1,2,1
12,13.0,23,95000,0,2.0,2,0,35000.0,7.9,10,2,0
13,14.0,26,108160,0,4.0,0,3,35000.0,18.39,10,4,1
14,15.0,23,115000,0,2.0,0,0,35000.0,7.9,10,4,0
15,16.0,23,500000,2,7.0,4,0,30000.0,10.65,10,3,0
16,17.0,23,120000,0,0.0,0,0,35000.0,7.9,10,4,0
17,18.0,23,92111,0,7.0,1,4,35000.0,20.25,10,4,1
18,19.0,23,113000,0,8.0,4,2,35000.0,18.25,10,4,1
19,20.0,24,10800,2,8.0,0,0,1750.0,10.99,4,2,1
20,21.0,25,162500,0,2.0,2,0,35000.0,7.49,10,4,0
21,22.0,25,137000,0,9.0,3,3,34800.0,16.77,10,2,0
22,23.0,22,65000,0,4.0,0,2,34000.0,17.58,10,4,1
23,24.0,24,10980,1,0.0,3,0,1500.0,7.29,4,3,0
24,25.0,22,80000,0,3.0,3,2,33950.0,14.54,10,4,1
25,26.0,24,67746,0,8.0,5,1,33000.0,12.68,10,3,1
26,27.0,21,11000,2,3.0,2,3,4575.0,17.74,1,3,1
27,28.0,23,11000,1,0.0,3,0,1400.0,9.32,3,3,0
28,29.0,24,65000,0,6.0,5,0,32500.0,9.99,10,3,0
29,30.0,21,11389,3,5.0,0,1,4000.0,12.84,1,2,1
